
> gildedtros@1.0.0 prestart
> npm run build


> gildedtros@1.0.0 build
> tsc


> gildedtros@1.0.0 start
> node dist/test/text-test-fixture.js 500

AXXES CODE KATA - GILDED TROS
-------- day 0 --------
name, sellIn, quality
Good Wine, -126, 50
Elixir of the SOLID, -123, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -113, 0
Backstage passes for Re:Factor, -118, 0
Backstage passes for HAXX, -123, 0
Duplicate Code, -125, 0
Long Methods, -125, 0
Ugly Variable Names, -125, 0

-------- day 129 --------
name, sellIn, quality
Ring of Cleansening Code, -119, 0
Good Wine, -127, 50
Elixir of the SOLID, -124, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -114, 0
Backstage passes for Re:Factor, -119, 0
Backstage passes for HAXX, -124, 0
Duplicate Code, -126, 0
Long Methods, -126, 0
Ugly Variable Names, -126, 0

-------- day 130 --------
name, sellIn, quality
Ring of Cleansening Code, -120, 0
Good Wine, -128, 50
Elixir of the SOLID, -125, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -115, 0
Backstage passes for Re:Factor, -120, 0
Backstage passes for HAXX, -125, 0
Duplicate Code, -127, 0
Long Methods, -127, 0
Ugly Variable Names, -127, 0

-------- day 131 --------
name, sellIn, quality
Ring of Cleansening Code, -121, 0
Good Wine, -129, 50
Elixir of the SOLID, -126, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -116, 0
Backstage passes for Re:Factor, -121, 0
Backstage passes for HAXX, -126, 0
Duplicate Code, -128, 0
Long Methods, -128, 0
Ugly Variable Names, -128, 0

-------- day 132 --------
name, sellIn, quality
Ring of Cleansening Code, -122, 0
Good Wine, -130, 50
Elixir of the SOLID, -127, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -117, 0
Backstage passes for Re:Factor, -122, 0
Backstage passes for HAXX, -127, 0
Duplicate Code, -129, 0
Long Methods, -129, 0
Ugly Variable Names, -129, 0

-------- day 133 --------
name, sellIn, quality
Ring of Cleansening Code, -123, 0
Good Wine, -131, 50
Elixir of the SOLID, -128, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -118, 0
Backstage passes for Re:Factor, -123, 0
Backstage passes for HAXX, -128, 0
Duplicate Code, -130, 0
Long Methods, -130, 0
Ugly Variable Names, -130, 0

-------- day 134 --------
name, sellIn, quality
Ring of Cleansening Code, -124, 0
Good Wine, -132, 50
Elixir of the SOLID, -129, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -119, 0
Backstage passes for Re:Factor, -124, 0
Backstage passes for HAXX, -129, 0
Duplicate Code, -131, 0
Long Methods, -131, 0
Ugly Variable Names, -131, 0

-------- day 135 --------
name, sellIn, quality
Ring of Cleansening Code, -125, 0
Good Wine, -133, 50
Elixir of the SOLID, -130, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -120, 0
Backstage passes for Re:Factor, -125, 0
Backstage passes for HAXX, -130, 0
Duplicate Code, -132, 0
Long Methods, -132, 0
Ugly Variable Names, -132, 0

-------- day 136 --------
name, sellIn, quality
Ring of Cleansening Code, -126, 0
Good Wine, -134, 50
Elixir of the SOLID, -131, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -121, 0
Backstage passes for Re:Factor, -126, 0
Backstage passes for HAXX, -131, 0
Duplicate Code, -133, 0
Long Methods, -133, 0
Ugly Variable Names, -133, 0

-------- day 137 --------
name, sellIn, quality
Ring of Cleansening Code, -127, 0
Good Wine, -135, 50
Elixir of the SOLID, -132, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -122, 0
Backstage passes for Re:Factor, -127, 0
Backstage passes for HAXX, -132, 0
Duplicate Code, -134, 0
Long Methods, -134, 0
Ugly Variable Names, -134, 0

-------- day 138 --------
name, sellIn, quality
Ring of Cleansening Code, -128, 0
Good Wine, -136, 50
Elixir of the SOLID, -133, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -123, 0
Backstage passes for Re:Factor, -128, 0
Backstage passes for HAXX, -133, 0
Duplicate Code, -135, 0
Long Methods, -135, 0
Ugly Variable Names, -135, 0

-------- day 139 --------
name, sellIn, quality
Ring of Cleansening Code, -129, 0
Good Wine, -137, 50
Elixir of the SOLID, -134, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -124, 0
Backstage passes for Re:Factor, -129, 0
Backstage passes for HAXX, -134, 0
Duplicate Code, -136, 0
Long Methods, -136, 0
Ugly Variable Names, -136, 0

-------- day 140 --------
name, sellIn, quality
Ring of Cleansening Code, -130, 0
Good Wine, -138, 50
Elixir of the SOLID, -135, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -125, 0
Backstage passes for Re:Factor, -130, 0
Backstage passes for HAXX, -135, 0
Duplicate Code, -137, 0
Long Methods, -137, 0
Ugly Variable Names, -137, 0

-------- day 141 --------
name, sellIn, quality
Ring of Cleansening Code, -131, 0
Good Wine, -139, 50
Elixir of the SOLID, -136, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -126, 0
Backstage passes for Re:Factor, -131, 0
Backstage passes for HAXX, -136, 0
Duplicate Code, -138, 0
Long Methods, -138, 0
Ugly Variable Names, -138, 0

-------- day 142 --------
name, sellIn, quality
Ring of Cleansening Code, -132, 0
Good Wine, -140, 50
Elixir of the SOLID, -137, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -127, 0
Backstage passes for Re:Factor, -132, 0
Backstage passes for HAXX, -137, 0
Duplicate Code, -139, 0
Long Methods, -139, 0
Ugly Variable Names, -139, 0

-------- day 143 --------
name, sellIn, quality
Ring of Cleansening Code, -133, 0
Good Wine, -141, 50
Elixir of the SOLID, -138, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -128, 0
Backstage passes for Re:Factor, -133, 0
Backstage passes for HAXX, -138, 0
Duplicate Code, -140, 0
Long Methods, -140, 0
Ugly Variable Names, -140, 0

-------- day 144 --------
name, sellIn, quality
Ring of Cleansening Code, -134, 0
Good Wine, -142, 50
Elixir of the SOLID, -139, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -129, 0
Backstage passes for Re:Factor, -134, 0
Backstage passes for HAXX, -139, 0
Duplicate Code, -141, 0
Long Methods, -141, 0
Ugly Variable Names, -141, 0

-------- day 145 --------
name, sellIn, quality
Ring of Cleansening Code, -135, 0
Good Wine, -143, 50
Elixir of the SOLID, -140, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -130, 0
Backstage passes for Re:Factor, -135, 0
Backstage passes for HAXX, -140, 0
Duplicate Code, -142, 0
Long Methods, -142, 0
Ugly Variable Names, -142, 0

-------- day 146 --------
name, sellIn, quality
Ring of Cleansening Code, -136, 0
Good Wine, -144, 50
Elixir of the SOLID, -141, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -131, 0
Backstage passes for Re:Factor, -136, 0
Backstage passes for HAXX, -141, 0
Duplicate Code, -143, 0
Long Methods, -143, 0
Ugly Variable Names, -143, 0

-------- day 147 --------
name, sellIn, quality
Ring of Cleansening Code, -137, 0
Good Wine, -145, 50
Elixir of the SOLID, -142, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -132, 0
Backstage passes for Re:Factor, -137, 0
Backstage passes for HAXX, -142, 0
Duplicate Code, -144, 0
Long Methods, -144, 0
Ugly Variable Names, -144, 0

-------- day 148 --------
name, sellIn, quality
Ring of Cleansening Code, -138, 0
Good Wine, -146, 50
Elixir of the SOLID, -143, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -133, 0
Backstage passes for Re:Factor, -138, 0
Backstage passes for HAXX, -143, 0
Duplicate Code, -145, 0
Long Methods, -145, 0
Ugly Variable Names, -145, 0

-------- day 149 --------
name, sellIn, quality
Ring of Cleansening Code, -139, 0
Good Wine, -147, 50
Elixir of the SOLID, -144, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -134, 0
Backstage passes for Re:Factor, -139, 0
Backstage passes for HAXX, -144, 0
Duplicate Code, -146, 0
Long Methods, -146, 0
Ugly Variable Names, -146, 0

-------- day 150 --------
name, sellIn, quality
Ring of Cleansening Code, -140, 0
Good Wine, -148, 50
Elixir of the SOLID, -145, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -135, 0
Backstage passes for Re:Factor, -140, 0
Backstage passes for HAXX, -145, 0
Duplicate Code, -147, 0
Long Methods, -147, 0
Ugly Variable Names, -147, 0

-------- day 151 --------
name, sellIn, quality
Ring of Cleansening Code, -141, 0
Good Wine, -149, 50
Elixir of the SOLID, -146, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -136, 0
Backstage passes for Re:Factor, -141, 0
Backstage passes for HAXX, -146, 0
Duplicate Code, -148, 0
Long Methods, -148, 0
Ugly Variable Names, -148, 0

-------- day 152 --------
name, sellIn, quality
Ring of Cleansening Code, -142, 0
Good Wine, -150, 50
Elixir of the SOLID, -147, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -137, 0
Backstage passes for Re:Factor, -142, 0
Backstage passes for HAXX, -147, 0
Duplicate Code, -149, 0
Long Methods, -149, 0
Ugly Variable Names, -149, 0

-------- day 153 --------
name, sellIn, quality
Ring of Cleansening Code, -143, 0
Good Wine, -151, 50
Elixir of the SOLID, -148, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -138, 0
Backstage passes for Re:Factor, -143, 0
Backstage passes for HAXX, -148, 0
Duplicate Code, -150, 0
Long Methods, -150, 0
Ugly Variable Names, -150, 0

-------- day 154 --------
name, sellIn, quality
Ring of Cleansening Code, -144, 0
Good Wine, -152, 50
Elixir of the SOLID, -149, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -139, 0
Backstage passes for Re:Factor, -144, 0
Backstage passes for HAXX, -149, 0
Duplicate Code, -151, 0
Long Methods, -151, 0
Ugly Variable Names, -151, 0

-------- day 155 --------
name, sellIn, quality
Ring of Cleansening Code, -145, 0
Good Wine, -153, 50
Elixir of the SOLID, -150, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -140, 0
Backstage passes for Re:Factor, -145, 0
Backstage passes for HAXX, -150, 0
Duplicate Code, -152, 0
Long Methods, -152, 0
Ugly Variable Names, -152, 0

-------- day 156 --------
name, sellIn, quality
Ring of Cleansening Code, -146, 0
Good Wine, -154, 50
Elixir of the SOLID, -151, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -141, 0
Backstage passes for Re:Factor, -146, 0
Backstage passes for HAXX, -151, 0
Duplicate Code, -153, 0
Long Methods, -153, 0
Ugly Variable Names, -153, 0

-------- day 157 --------
name, sellIn, quality
Ring of Cleansening Code, -147, 0
Good Wine, -155, 50
Elixir of the SOLID, -152, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -142, 0
Backstage passes for Re:Factor, -147, 0
Backstage passes for HAXX, -152, 0
Duplicate Code, -154, 0
Long Methods, -154, 0
Ugly Variable Names, -154, 0

-------- day 158 --------
name, sellIn, quality
Ring of Cleansening Code, -148, 0
Good Wine, -156, 50
Elixir of the SOLID, -153, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -143, 0
Backstage passes for Re:Factor, -148, 0
Backstage passes for HAXX, -153, 0
Duplicate Code, -155, 0
Long Methods, -155, 0
Ugly Variable Names, -155, 0

-------- day 159 --------
name, sellIn, quality
Ring of Cleansening Code, -149, 0
Good Wine, -157, 50
Elixir of the SOLID, -154, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -144, 0
Backstage passes for Re:Factor, -149, 0
Backstage passes for HAXX, -154, 0
Duplicate Code, -156, 0
Long Methods, -156, 0
Ugly Variable Names, -156, 0

-------- day 160 --------
name, sellIn, quality
Ring of Cleansening Code, -150, 0
Good Wine, -158, 50
Elixir of the SOLID, -155, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -145, 0
Backstage passes for Re:Factor, -150, 0
Backstage passes for HAXX, -155, 0
Duplicate Code, -157, 0
Long Methods, -157, 0
Ugly Variable Names, -157, 0

-------- day 161 --------
name, sellIn, quality
Ring of Cleansening Code, -151, 0
Good Wine, -159, 50
Elixir of the SOLID, -156, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -146, 0
Backstage passes for Re:Factor, -151, 0
Backstage passes for HAXX, -156, 0
Duplicate Code, -158, 0
Long Methods, -158, 0
Ugly Variable Names, -158, 0

-------- day 162 --------
name, sellIn, quality
Ring of Cleansening Code, -152, 0
Good Wine, -160, 50
Elixir of the SOLID, -157, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -147, 0
Backstage passes for Re:Factor, -152, 0
Backstage passes for HAXX, -157, 0
Duplicate Code, -159, 0
Long Methods, -159, 0
Ugly Variable Names, -159, 0

-------- day 163 --------
name, sellIn, quality
Ring of Cleansening Code, -153, 0
Good Wine, -161, 50
Elixir of the SOLID, -158, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -148, 0
Backstage passes for Re:Factor, -153, 0
Backstage passes for HAXX, -158, 0
Duplicate Code, -160, 0
Long Methods, -160, 0
Ugly Variable Names, -160, 0

-------- day 164 --------
name, sellIn, quality
Ring of Cleansening Code, -154, 0
Good Wine, -162, 50
Elixir of the SOLID, -159, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -149, 0
Backstage passes for Re:Factor, -154, 0
Backstage passes for HAXX, -159, 0
Duplicate Code, -161, 0
Long Methods, -161, 0
Ugly Variable Names, -161, 0

-------- day 165 --------
name, sellIn, quality
Ring of Cleansening Code, -155, 0
Good Wine, -163, 50
Elixir of the SOLID, -160, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -150, 0
Backstage passes for Re:Factor, -155, 0
Backstage passes for HAXX, -160, 0
Duplicate Code, -162, 0
Long Methods, -162, 0
Ugly Variable Names, -162, 0

-------- day 166 --------
name, sellIn, quality
Ring of Cleansening Code, -156, 0
Good Wine, -164, 50
Elixir of the SOLID, -161, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -151, 0
Backstage passes for Re:Factor, -156, 0
Backstage passes for HAXX, -161, 0
Duplicate Code, -163, 0
Long Methods, -163, 0
Ugly Variable Names, -163, 0

-------- day 167 --------
name, sellIn, quality
Ring of Cleansening Code, -157, 0
Good Wine, -165, 50
Elixir of the SOLID, -162, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -152, 0
Backstage passes for Re:Factor, -157, 0
Backstage passes for HAXX, -162, 0
Duplicate Code, -164, 0
Long Methods, -164, 0
Ugly Variable Names, -164, 0

-------- day 168 --------
name, sellIn, quality
Ring of Cleansening Code, -158, 0
Good Wine, -166, 50
Elixir of the SOLID, -163, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -153, 0
Backstage passes for Re:Factor, -158, 0
Backstage passes for HAXX, -163, 0
Duplicate Code, -165, 0
Long Methods, -165, 0
Ugly Variable Names, -165, 0

-------- day 169 --------
name, sellIn, quality
Ring of Cleansening Code, -159, 0
Good Wine, -167, 50
Elixir of the SOLID, -164, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -154, 0
Backstage passes for Re:Factor, -159, 0
Backstage passes for HAXX, -164, 0
Duplicate Code, -166, 0
Long Methods, -166, 0
Ugly Variable Names, -166, 0

-------- day 170 --------
name, sellIn, quality
Ring of Cleansening Code, -160, 0
Good Wine, -168, 50
Elixir of the SOLID, -165, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -155, 0
Backstage passes for Re:Factor, -160, 0
Backstage passes for HAXX, -165, 0
Duplicate Code, -167, 0
Long Methods, -167, 0
Ugly Variable Names, -167, 0

-------- day 171 --------
name, sellIn, quality
Ring of Cleansening Code, -161, 0
Good Wine, -169, 50
Elixir of the SOLID, -166, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -156, 0
Backstage passes for Re:Factor, -161, 0
Backstage passes for HAXX, -166, 0
Duplicate Code, -168, 0
Long Methods, -168, 0
Ugly Variable Names, -168, 0

-------- day 172 --------
name, sellIn, quality
Ring of Cleansening Code, -162, 0
Good Wine, -170, 50
Elixir of the SOLID, -167, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -157, 0
Backstage passes for Re:Factor, -162, 0
Backstage passes for HAXX, -167, 0
Duplicate Code, -169, 0
Long Methods, -169, 0
Ugly Variable Names, -169, 0

-------- day 173 --------
name, sellIn, quality
Ring of Cleansening Code, -163, 0
Good Wine, -171, 50
Elixir of the SOLID, -168, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -158, 0
Backstage passes for Re:Factor, -163, 0
Backstage passes for HAXX, -168, 0
Duplicate Code, -170, 0
Long Methods, -170, 0
Ugly Variable Names, -170, 0

-------- day 174 --------
name, sellIn, quality
Ring of Cleansening Code, -164, 0
Good Wine, -172, 50
Elixir of the SOLID, -169, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -159, 0
Backstage passes for Re:Factor, -164, 0
Backstage passes for HAXX, -169, 0
Duplicate Code, -171, 0
Long Methods, -171, 0
Ugly Variable Names, -171, 0

-------- day 175 --------
name, sellIn, quality
Ring of Cleansening Code, -165, 0
Good Wine, -173, 50
Elixir of the SOLID, -170, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -160, 0
Backstage passes for Re:Factor, -165, 0
Backstage passes for HAXX, -170, 0
Duplicate Code, -172, 0
Long Methods, -172, 0
Ugly Variable Names, -172, 0

-------- day 176 --------
name, sellIn, quality
Ring of Cleansening Code, -166, 0
Good Wine, -174, 50
Elixir of the SOLID, -171, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -161, 0
Backstage passes for Re:Factor, -166, 0
Backstage passes for HAXX, -171, 0
Duplicate Code, -173, 0
Long Methods, -173, 0
Ugly Variable Names, -173, 0

-------- day 177 --------
name, sellIn, quality
Ring of Cleansening Code, -167, 0
Good Wine, -175, 50
Elixir of the SOLID, -172, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -162, 0
Backstage passes for Re:Factor, -167, 0
Backstage passes for HAXX, -172, 0
Duplicate Code, -174, 0
Long Methods, -174, 0
Ugly Variable Names, -174, 0

-------- day 178 --------
name, sellIn, quality
Ring of Cleansening Code, -168, 0
Good Wine, -176, 50
Elixir of the SOLID, -173, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -163, 0
Backstage passes for Re:Factor, -168, 0
Backstage passes for HAXX, -173, 0
Duplicate Code, -175, 0
Long Methods, -175, 0
Ugly Variable Names, -175, 0

-------- day 179 --------
name, sellIn, quality
Ring of Cleansening Code, -169, 0
Good Wine, -177, 50
Elixir of the SOLID, -174, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -164, 0
Backstage passes for Re:Factor, -169, 0
Backstage passes for HAXX, -174, 0
Duplicate Code, -176, 0
Long Methods, -176, 0
Ugly Variable Names, -176, 0

-------- day 180 --------
name, sellIn, quality
Ring of Cleansening Code, -170, 0
Good Wine, -178, 50
Elixir of the SOLID, -175, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -165, 0
Backstage passes for Re:Factor, -170, 0
Backstage passes for HAXX, -175, 0
Duplicate Code, -177, 0
Long Methods, -177, 0
Ugly Variable Names, -177, 0

-------- day 181 --------
name, sellIn, quality
Ring of Cleansening Code, -171, 0
Good Wine, -179, 50
Elixir of the SOLID, -176, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -166, 0
Backstage passes for Re:Factor, -171, 0
Backstage passes for HAXX, -176, 0
Duplicate Code, -178, 0
Long Methods, -178, 0
Ugly Variable Names, -178, 0

-------- day 182 --------
name, sellIn, quality
Ring of Cleansening Code, -172, 0
Good Wine, -180, 50
Elixir of the SOLID, -177, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -167, 0
Backstage passes for Re:Factor, -172, 0
Backstage passes for HAXX, -177, 0
Duplicate Code, -179, 0
Long Methods, -179, 0
Ugly Variable Names, -179, 0

-------- day 183 --------
name, sellIn, quality
Ring of Cleansening Code, -173, 0
Good Wine, -181, 50
Elixir of the SOLID, -178, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -168, 0
Backstage passes for Re:Factor, -173, 0
Backstage passes for HAXX, -178, 0
Duplicate Code, -180, 0
Long Methods, -180, 0
Ugly Variable Names, -180, 0

-------- day 184 --------
name, sellIn, quality
Ring of Cleansening Code, -174, 0
Good Wine, -182, 50
Elixir of the SOLID, -179, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -169, 0
Backstage passes for Re:Factor, -174, 0
Backstage passes for HAXX, -179, 0
Duplicate Code, -181, 0
Long Methods, -181, 0
Ugly Variable Names, -181, 0

-------- day 185 --------
name, sellIn, quality
Ring of Cleansening Code, -175, 0
Good Wine, -183, 50
Elixir of the SOLID, -180, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -170, 0
Backstage passes for Re:Factor, -175, 0
Backstage passes for HAXX, -180, 0
Duplicate Code, -182, 0
Long Methods, -182, 0
Ugly Variable Names, -182, 0

-------- day 186 --------
name, sellIn, quality
Ring of Cleansening Code, -176, 0
Good Wine, -184, 50
Elixir of the SOLID, -181, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -171, 0
Backstage passes for Re:Factor, -176, 0
Backstage passes for HAXX, -181, 0
Duplicate Code, -183, 0
Long Methods, -183, 0
Ugly Variable Names, -183, 0

-------- day 187 --------
name, sellIn, quality
Ring of Cleansening Code, -177, 0
Good Wine, -185, 50
Elixir of the SOLID, -182, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -172, 0
Backstage passes for Re:Factor, -177, 0
Backstage passes for HAXX, -182, 0
Duplicate Code, -184, 0
Long Methods, -184, 0
Ugly Variable Names, -184, 0

-------- day 188 --------
name, sellIn, quality
Ring of Cleansening Code, -178, 0
Good Wine, -186, 50
Elixir of the SOLID, -183, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -173, 0
Backstage passes for Re:Factor, -178, 0
Backstage passes for HAXX, -183, 0
Duplicate Code, -185, 0
Long Methods, -185, 0
Ugly Variable Names, -185, 0

-------- day 189 --------
name, sellIn, quality
Ring of Cleansening Code, -179, 0
Good Wine, -187, 50
Elixir of the SOLID, -184, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -174, 0
Backstage passes for Re:Factor, -179, 0
Backstage passes for HAXX, -184, 0
Duplicate Code, -186, 0
Long Methods, -186, 0
Ugly Variable Names, -186, 0

-------- day 190 --------
name, sellIn, quality
Ring of Cleansening Code, -180, 0
Good Wine, -188, 50
Elixir of the SOLID, -185, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -175, 0
Backstage passes for Re:Factor, -180, 0
Backstage passes for HAXX, -185, 0
Duplicate Code, -187, 0
Long Methods, -187, 0
Ugly Variable Names, -187, 0

-------- day 191 --------
name, sellIn, quality
Ring of Cleansening Code, -181, 0
Good Wine, -189, 50
Elixir of the SOLID, -186, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -176, 0
Backstage passes for Re:Factor, -181, 0
Backstage passes for HAXX, -186, 0
Duplicate Code, -188, 0
Long Methods, -188, 0
Ugly Variable Names, -188, 0

-------- day 192 --------
name, sellIn, quality
Ring of Cleansening Code, -182, 0
Good Wine, -190, 50
Elixir of the SOLID, -187, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -177, 0
Backstage passes for Re:Factor, -182, 0
Backstage passes for HAXX, -187, 0
Duplicate Code, -189, 0
Long Methods, -189, 0
Ugly Variable Names, -189, 0

-------- day 193 --------
name, sellIn, quality
Ring of Cleansening Code, -183, 0
Good Wine, -191, 50
Elixir of the SOLID, -188, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -178, 0
Backstage passes for Re:Factor, -183, 0
Backstage passes for HAXX, -188, 0
Duplicate Code, -190, 0
Long Methods, -190, 0
Ugly Variable Names, -190, 0

-------- day 194 --------
name, sellIn, quality
Ring of Cleansening Code, -184, 0
Good Wine, -192, 50
Elixir of the SOLID, -189, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -179, 0
Backstage passes for Re:Factor, -184, 0
Backstage passes for HAXX, -189, 0
Duplicate Code, -191, 0
Long Methods, -191, 0
Ugly Variable Names, -191, 0

-------- day 195 --------
name, sellIn, quality
Ring of Cleansening Code, -185, 0
Good Wine, -193, 50
Elixir of the SOLID, -190, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -180, 0
Backstage passes for Re:Factor, -185, 0
Backstage passes for HAXX, -190, 0
Duplicate Code, -192, 0
Long Methods, -192, 0
Ugly Variable Names, -192, 0

-------- day 196 --------
name, sellIn, quality
Ring of Cleansening Code, -186, 0
Good Wine, -194, 50
Elixir of the SOLID, -191, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -181, 0
Backstage passes for Re:Factor, -186, 0
Backstage passes for HAXX, -191, 0
Duplicate Code, -193, 0
Long Methods, -193, 0
